Time to complete exam,Year,Grade,Attemptnumber,Bachelor/Master,Nachklausur
58,2022,4.0,2,Master,Yes
74,2022,3.3,1,Bachelor,Yes
67,2022,4.0,2,Master,Yes
15,2022,5.0,2,Master,Yes
80,2022,3.7,1,Bachelor,Yes
15,2023,5.0,1,Master,No
64,2023,4.0,3,Bachelor,No
79,2023,3.7,1,Master,No
37,2023,1.0,2,Master,No
68,2023,2.0,1,Master,No
76,2023,2.3,1,Master,No
72,2023,2.7,1,Master,No
75,2023,3.3,1,Bachelor,No
52,2023,2.0,1,Bachelor,No
77,2023,2.3,2,Master,No
75,2023,2.3,1,Master,No
47,2023,2.7,1,Master,No
74,2023,3.3,3,Master,No
60,2023,4.0,1,Master,No
72,2023,3.3,1,Master,No
15,2023,5.0,1,Bachelor,No
62,2023,2.7,1,Bachelor,No
46,2023,4.0,1,Master,No
56,2023,3.3,1,Bachelor,No
34,2023,5.0,3,Master,No
50,2023,4.0,1,Master,No
72,2023,3.0,1,Bachelor,No
56,2023,3.0,1,Bachelor,No
69,2023,3.7,1,Master,No
72,2023,3.0,1,Master,No
86,2023,5.0,1,Master,No
68,2023,2.3,1,Master,No
45,2023,1.7,1,Bachelor,No
15,2023,5.0,1,Master,No
65,2023,1.7,1,Master,No
89,2023,2.7,1,Master,No
56,2023,2.7,1,Master,No
63,2023,3.7,2,Master,No
63,2023,1.0,1,Master,No
73,2023,2.0,1,Master,No
81,2023,4.0,1,Master,No
80,2023,3.7,1,Master,No
24,2023,5.0,1,Master,No
79,2023,3.7,2,Bachelor,No
65,2023,5.0,1,Master,No
37,2023,1.7,1,Bachelor,No
79,2023,4.0,1,Bachelor,No
15,2023,5.0,1,Master,No
71,2023,2.3,1,Bachelor,No
68,2023,2.3,1,Bachelor,No
24,2023,4.0,1,Master,No
27,2023,3.3,1,Bachelor,No
15,2023,5.0,1,Master,No
36,2023,1.7,1,Master,No
67,2023,4.0,1,Bachelor,No
75,2023,2.3,1,Master,No
56,2023,2.7,1,Master,No
73,2023,2.0,3,Master,No
50,2023,4.0,3,Master,No
68,2023,2.7,1,Master,No
68,2023,2.0,1,Master,No
75,2023,2.3,1,Master,No
58,2023,4.0,1,Master,No
79,2023,4.0,1,Bachelor,No
64,2023,4.0,1,Bachelor,No
15,2023,5.0,1,Master,No
64,2023,5.0,3,Master,No
72,2023,3.3,3,Master,No
65,2023,2.7,1,Bachelor,No
51,2023,3.0,1,Bachelor,No
68,2023,3.0,1,Master,No
79,2023,3.7,1,Bachelor,No
34,2023,5.0,1,Master,No
68,2023,1.7,1,Master,No
66,2023,1.7,1,Bachelor,No
68,2023,3.0,1,Master,No
47,2023,2.7,1,Bachelor,No
69,2023,2.7,1,Master,No
15,2023,5.0,1,Master,yes
74,2023,4.0,1,Master,yes
79,2023,3.7,2,Bachelor,yes
73,2023,2.0,1,Master,yes
65,2023,1.7,2,Master,yes
15,2023,5.0,1,Bachelor,yes
72,2023,5.0,1,Master,yes
63,2023,2.7,1,Bachelor,yes
77,2023,2.3,3,Master,yes
63,2023,4.0,1,Master,yes
24,2023,5.0,1,Master,yes
81,2023,3.7,1,Master,yes
80,2023,3.3,1,Bachelor,yes
63,2023,3.3,1,Bachelor,yes
78,2023,1.0,1,Bachelor,yes
59,2023,2.0,1,Master,yes
